Leduc Poker CFR Results
============================================================

Round 1 Nodes (0-23):
----------------------------------------
J:           -> c:0.9060, r:0.0940
K|K:rrb/c            -> c:0.0002, r:0.9998
K|K:rrrb/c           -> c:0.0002, r:0.9998
K|K:c/c              -> c:0.2647, r:0.7353
K|K:crb/c            -> c:0.0002, r:0.9998
K|K:crrb/c           -> c:0.0001, r:0.9999
K|K:crrrb/c          -> c:0.0009, r:0.9991
J|K:rb/cr            -> c:0.0923, b:0.0005, r:0.9072
J|K:rrb/cr           -> c:0.7159, b:0.0000, r:0.2841
J|K:rrrb/cr          -> c:0.1635, b:0.1635, r:0.6730
J|K:c/cr             -> c:0.9990, b:0.0000, r:0.0010
J|K:crb/cr           -> c:0.9543, b:0.0000, r:0.0457
J|K:crrb/cr          -> c:0.3333, b:0.3333, r:0.3333
J|K:crrrb/cr         -> c:1.0000, b:0.0000, r:0.0000
Q|K:rb/cr            -> c:0.4428, b:0.5201, r:0.0371
Q|K:rrb/cr           -> c:0.6857, b:0.3143, r:0.0000
Q|K:rrrb/cr          -> c:0.9817, b:0.0183, r:0.0000
Q|K:c/cr             -> c:0.0091, b:0.6341, r:0.3568
Q|K:crb/cr           -> c:0.4326, b:0.5665, r:0.0009
Q|K:crrb/cr          -> c:0.3407, b:0.6468, r:0.0125
Q|K:crrrb/cr         -> c:0.9709, b:0.0252, r:0.0039
K|K:rb/cr            -> c:0.0000, b:0.0000, r:1.0000
K|K:rrb/cr           -> c:0.0000, b:0.0000, r:1.0000
K|K:rrrb/cr          -> c:0.0000, b:0.0000, r:1.0000
K|K:c/cr             -> c:0.0019, b:0.0019, r:0.9962
K|K:crb/cr           -> c:0.0002, b:0.0002, r:0.9995
K|K:crrb/cr          -> c:0.0000, b:0.0000, r:1.0000
K|K:crrrb/cr         -> c:0.0000, b:0.0000, r:1.0000
J|K:rb/crr           -> c:0.9983, b:0.0002, r:0.0015
J|K:rrb/crr          -> c:0.9977, b:0.0003, r:0.0020
J|K:rrrb/crr         -> c:0.9973, b:0.0004, r:0.0023
J|K:c/crr            -> c:0.9882, b:0.0000, r:0.0118
J|K:crb/crr          -> c:0.9996, b:0.0001, r:0.0003
J|K:crrb/crr         -> c:0.9999, b:0.0000, r:0.0000
J|K:crrrb/crr        -> c:0.9963, b:0.0019, r:0.0019
Q|K:rb/crr           -> c:0.9110, b:0.0863, r:0.0027
Q|K:rrb/crr          -> c:0.9920, b:0.0040, r:0.0040
Q|K:rrrb/crr         -> c:0.9722, b:0.0105, r:0.0173
Q|K:c/crr            -> c:0.0015, b:0.9179, r:0.0806
Q|K:crb/crr          -> c:0.9572, b:0.0398, r:0.0030
Q|K:crrb/crr         -> c:0.9867, b:0.0122, r:0.0011
Q|K:crrrb/crr        -> c:0.7876, b:0.1286, r:0.0838
K|K:rb/crr           -> c:0.0001, b:0.0002, r:0.9997
K|K:rrb/crr          -> c:0.0001, b:0.3750, r:0.6250
K|K:rrrb/crr         -> c:0.0001, b:0.3928, r:0.6071
K|K:c/crr            -> c:0.1200, b:0.1927, r:0.6873
K|K:crb/crr          -> c:0.0001, b:0.0001, r:0.9998
K|K:crrb/crr         -> c:0.0000, b:0.3330, r:0.6670
K|K:crrrb/crr        -> c:0.0003, b:0.0004, r:0.9992
J|K:rb/crrr          -> c:0.9997, b:0.0003
J|K:rrb/crrr         -> c:0.9975, b:0.0025
J|K:rrrb/crrr        -> c:0.1215, b:0.8785
J|K:c/crrr           -> c:1.0000, b:0.0000
J|K:crb/crrr         -> c:1.0000, b:0.0000
J|K:crrb/crrr        -> c:0.5000, b:0.5000
J|K:crrrb/crrr       -> c:0.5000, b:0.5000
Q|K:rb/crrr          -> c:0.9421, b:0.0579
Q|K:rrb/crrr         -> c:0.5000, b:0.5000
Q|K:rrrb/crrr        -> c:0.5000, b:0.5000
Q|K:c/crrr           -> c:0.0001, b:0.9999
Q|K:crb/crrr         -> c:0.0183, b:0.9817
Q|K:crrb/crrr        -> c:0.0000, b:1.0000
Q|K:crrrb/crrr       -> c:0.0000, b:1.0000
K|K:rb/crrr          -> c:0.0000, b:1.0000
K|K:rrb/crrr         -> c:0.0000, b:1.0000
K|K:rrrb/crrr        -> c:0.0000, b:1.0000
K|K:c/crrr           -> c:0.0009, b:0.9991
K|K:crb/crrr         -> c:0.0001, b:0.9999
K|K:crrb/crrr        -> c:0.0000, b:1.0000
K|K:crrrb/crrr       -> c:0.0000, b:1.0000
